date_from,date_to,release,n_top_contributing_coms 1,n_top_contributing_coms 2,n_top_contributing_coms 3,n_top_contributing_coms 5,n_top_contributing_coms 10,n_top_contributing_coms 15,n_top_contributing_coms 20,n_top_contributing_coms 25,n_top_contributing_coms 30,n_top_contributing_coms 50,n_top_contributing_coms 100,n_top_contributing_coms 200,n_top_contributing_coms 500,top_contributions_perc 1,top_contributions_perc 2,top_contributions_perc 3,top_contributions_perc 5,top_contributions_perc 10,top_contributions_perc 15,top_contributions_perc 20,top_contributions_perc 25,top_contributions_perc 30,top_contributions_perc 50,top_contributions_perc 100,top_contributions_perc 200,top_contributions_perc 500
2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-04-01,1,2,2,2,2,2,3,3,3,6,26,58,121,4.2583192329385223,8.4038353073886069,11.4777213761985336,17.2024816694867456,27.6931754089114495,36.5200225606316977,43.0908065425831923,48.7591652566271856,53.2994923857868020,66.4410603496897913,80.2876480541455161,90.2707275803722504,100.0000000000000000
2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-05-01,1,2,2,2,3,5,5,5,5,7,24,55,144,4.9873368400545490,8.4161309175920514,11.7864796415351646,18.2544321059809079,31.9696084161309176,42.0222092343658679,49.2694330800701344,55.0750048704461329,59.8675238651860510,72.2384570426651081,85.1743619715565946,92.5384765244496396,99.8831092928112215
2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-06-01,1,2,2,3,3,5,5,6,6,9,21,50,128,4.8993875765529309,8.4689413823272091,11.8810148731408574,17.9877515310586177,29.6762904636920385,38.5301837270341207,46.1417322834645669,51.9860017497812773,56.6229221347331584,69.7987751531058618,83.6220472440944882,92.2484689413823272,99.1601049868766404
2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-07-01,1,2,2,2,3,4,4,5,6,9,21,45,119,10.0236102167847178,13.9300279029834728,16.3125134148959004,20.2618587679759605,29.0405666452028332,36.4670530156685984,42.4339987121699936,47.6497102382485512,52.0283322601416613,63.9192959862631466,77.3771195535522644,87.1646276024898047,96.9521356514273449
2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-08-01,1,2,2,3,3,3,4,4,5,10,17,37,119,4.7155037410823038,7.7605707325561162,10.3184270053941187,14.7729250043500957,24.3779363145989212,32.0863058987297721,38.4722463894205673,43.7445623803723682,48.2338611449451888,61.0927440403688881,77.2751000522011484,88.0459370106142335,96.8505307116756569
2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-09-01,1,2,2,2,2,4,4,4,5,8,18,44,114,5.0307107341327874,8.1017841474115238,10.9096226966949400,15.7940918397192161,25.6069026031003217,33.2407136589646095,39.5729745539631471,44.7937993565369991,49.2980403626791459,62.4159110851126060,79.9649020181339573,89.2512430535244223,97.0605440187189237
2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-10-01,1,2,3,3,4,5,7,7,8,9,19,45,123,4.2820069204152249,8.2468281430219146,11.5772779700115340,16.8252595155709343,26.8598615916955017,34.3137254901960784,40.2393310265282584,45.4873125720876586,49.6828143021914648,61.3033448673587082,74.7693194925028835,85.5536332179930796,95.1701268742791234
2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2016-11-01,1,1,2,3,5,5,5,6,8,12,16,46,132,3.3790333748788256,6.2595208419886442,8.9461293449660712,13.9454369200941698,24.7195679268799335,32.6270599639939067,38.9004293034205789,43.7335549092923418,48.0819831048331256,60.8502977426949176,76.5821908322946960,86.3315330286663897,95.3192078659465448
2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2016-12-01,1,2,2,4,6,6,6,6,6,11,21,44,149,3.3773291925465839,6.5993788819875776,9.6661490683229814,15.6185300207039337,25.6211180124223602,31.9875776397515528,37.6293995859213251,42.4430641821946170,46.7779503105590062,58.6697722567287785,73.7836438923395445,84.5238095238095238,94.9663561076604555
2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-01-01,1,2,2,3,5,8,8,8,8,11,21,52,152,5.7572254335260116,9.2254335260115607,12.6242774566473988,18.3121387283236994,26.2543352601156069,33.0173410404624277,38.5549132947976879,43.4335260115606936,47.7803468208092486,59.7572254335260116,74.9942196531791908,84.8439306358381503,94.4277456647398844
